Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,09/04/2022,20:30,Fluminense,Santos,0,0,D,,,,,,
BRA,09/04/2022,23:00,Atletico GO,Flamengo RJ,1,1,D,,,,,,
BRA,10/04/2022,01:00,Palmeiras,Ceara,2,3,A,,,,,,
BRA,10/04/2022,15:00,Coritiba,Goias,3,0,H,,,,,,
BRA,10/04/2022,20:00,Atletico-MG,Internacional,2,0,H,,,,,,
BRA,10/04/2022,20:00,Botafogo RJ,Corinthians,1,3,A,,,,,,
BRA,10/04/2022,22:00,Fortaleza,Cuiaba,0,1,A,,,,,,
BRA,10/04/2022,23:00,Avai,America MG,1,0,H,,,,,,
BRA,10/04/2022,23:00,Sao Paulo,Athletico-PR,4,0,H,,,,,,
BRA,12/04/2022,00:00,Juventude,Bragantino,2,2,D,,,,,,
BRA,16/04/2022,20:30,Goias,Palmeiras,1,1,D,,,,,,
BRA,16/04/2022,23:00,America MG,Juventude,4,1,H,,,,,,
BRA,16/04/2022,23:00,Corinthians,Avai,3,0,H,,,,,,
BRA,17/04/2022,01:00,Cuiaba,Fluminense,0,1,A,,,,,,
BRA,17/04/2022,15:00,Santos,Coritiba,2,1,H,,,,,,
BRA,17/04/2022,20:00,Flamengo RJ,Sao Paulo,3,1,H,,,,,,
BRA,17/04/2022,22:00,Athletico-PR,Atletico-MG,0,1,A,,,,,,
BRA,17/04/2022,22:00,Bragantino,Atletico GO,4,0,H,,,,,,
BRA,17/04/2022,22:00,Internacional,Fortaleza,2,1,H,,,,,,
BRA,17/04/2022,23:00,Ceara,Botafogo RJ,1,3,A,,,,,,
BRA,20/04/2022,23:30,Flamengo RJ,Palmeiras,0,0,D,,,,,,
BRA,23/04/2022,20:30,Athletico-PR,Flamengo RJ,1,0,H,,,,,,
BRA,23/04/2022,20:30,Bragantino,Sao Paulo,1,1,D,,,,,,
BRA,23/04/2022,23:00,Fluminense,Internacional,0,1,A,,,,,,
BRA,23/04/2022,23:00,Palmeiras,Corinthians,3,0,H,,,,,,
BRA,24/04/2022,01:00,Atletico-MG,Coritiba,2,2,D,,,,,,
BRA,24/04/2022,20:00,Santos,America MG,3,0,H,,,,,,
BRA,24/04/2022,22:00,Juventude,Cuiaba,0,1,A,,,,,,
BRA,24/04/2022,22:30,Atletico GO,Botafogo RJ,1,1,D,,,,,,
BRA,26/04/2022,00:00,Avai,Goias,3,2,H,,,,,,
BRA,30/04/2022,20:30,America MG,Athletico-PR,1,0,H,,,,,,
BRA,30/04/2022,20:30,Ceara,Bragantino,0,1,A,,,,,,
BRA,30/04/2022,22:30,Goias,Atletico-MG,2,2,D,,,,,,
BRA,30/04/2022,23:00,Cuiaba,Atletico GO,1,1,D,,,,,,
BRA,01/05/2022,15:00,Botafogo RJ,Juventude,1,1,D,,,,,,
BRA,01/05/2022,20:00,Corinthians,Fortaleza,1,0,H,,,,,,
BRA,01/05/2022,20:00,Coritiba,Fluminense,3,2,H,,,,,,
BRA,01/05/2022,23:00,Internacional,Avai,0,0,D,,,,,,
BRA,03/05/2022,00:00,Sao Paulo,Santos,2,1,H,,,,,,
BRA,07/05/2022,20:30,Atletico-MG,America MG,1,2,A,,,,,,
BRA,08/05/2022,00:30,Athletico-PR,Ceara,1,0,H,,,,,,
BRA,08/05/2022,15:00,Flamengo RJ,Botafogo RJ,0,1,A,,,,,,
BRA,08/05/2022,20:00,Atletico GO,Goias,0,1,A,,,,,,
BRA,08/05/2022,20:00,Palmeiras,Fluminense,1,1,D,,,,,,
BRA,08/05/2022,22:00,Bragantino,Corinthians,0,1,A,,,,,,
BRA,08/05/2022,22:00,Santos,Cuiaba,4,1,H,,,,,,
BRA,08/05/2022,23:00,Fortaleza,Sao Paulo,1,1,D,,,,,,
BRA,08/05/2022,23:00,Juventude,Internacional,1,1,D,,,,,,
BRA,10/05/2022,00:00,Avai,Coritiba,2,1,H,,,,,,
BRA,12/05/2022,00:30,Bragantino,Atletico-MG,1,1,D,,,,,,
BRA,14/05/2022,20:30,Ceara,Flamengo RJ,2,2,D,,,,,,
BRA,14/05/2022,20:30,Palmeiras,Bragantino,2,0,H,,,,,,
BRA,14/05/2022,23:00,Atletico-MG,Atletico GO,2,0,H,,,,,,
BRA,14/05/2022,23:00,Internacional,Corinthians,2,2,D,,,,,,
BRA,15/05/2022,01:00,Fluminense,Athletico-PR,2,1,H,,,,,,
BRA,15/05/2022,20:00,Sao Paulo,Cuiaba,2,1,H,,,,,,
BRA,15/05/2022,21:30,Coritiba,America MG,1,0,H,,,,,,
BRA,15/05/2022,22:00,Avai,Juventude,1,2,A,,,,,,
BRA,15/05/2022,22:00,Botafogo RJ,Fortaleza,3,1,H,,,,,,
BRA,15/05/2022,23:00,Goias,Santos,1,0,H,,,,,,
BRA,21/05/2022,20:30,Atletico GO,Coritiba,2,0,H,,,,,,
BRA,21/05/2022,20:30,Flamengo RJ,Goias,1,0,H,,,,,,
BRA,21/05/2022,22:30,Santos,Ceara,0,0,D,,,,,,
BRA,21/05/2022,23:00,Juventude,Palmeiras,0,3,A,,,,,,
BRA,22/05/2022,01:00,America MG,Botafogo RJ,1,1,D,,,,,,
BRA,22/05/2022,01:00,Cuiaba,Internacional,1,1,D,,,,,,
BRA,22/05/2022,20:00,Corinthians,Sao Paulo,1,1,D,,,,,,
BRA,22/05/2022,20:00,Fortaleza,Fluminense,0,1,A,,,,,,
BRA,22/05/2022,23:00,Athletico-PR,Avai,2,1,H,,,,,,
BRA,28/05/2022,20:30,Goias,Bragantino,1,1,D,,,,,,
BRA,28/05/2022,23:00,Sao Paulo,Ceara,2,2,D,,,,,,
BRA,29/05/2022,00:30,Fortaleza,Juventude,1,1,D,,,,,,
BRA,29/05/2022,20:00,Coritiba,Botafogo RJ,1,0,H,,,,,,
BRA,29/05/2022,20:00,Santos,Palmeiras,0,1,A,,,,,,
BRA,29/05/2022,22:00,Corinthians,America MG,1,1,D,,,,,,
BRA,29/05/2022,22:00,Cuiaba,Athletico-PR,0,1,A,,,,,,
BRA,29/05/2022,22:00,Fluminense,Flamengo RJ,1,2,A,,,,,,
BRA,29/05/2022,23:00,Atletico-MG,Avai,2,1,H,,,,,,
